Subfamily,Habitat,LM,WP,WI,WD,HP,HI,HD
Bovinae,3,59.7,21,21,20.5,29.7,22.4,18
Bovinae,3,63.6,23.2,23.5,22.6,30.7,25.2,18.6
Bovinae,3,55.1,20.4,20.2,20.7,27.3,23,15.7
Bovinae,3,54.9,15.1,13.9,14.1,21.9,17.3,12.7
Bovinae,3,50.1,14.1,12.9,13.2,20.4,16.2,11.8
Bovinae,3,53.3,14.9,14,14.1,21.3,17.1,12.7
Bovinae,3,45.3,12.5,11.1,12.1,17.2,14,10.9
Bovinae,1,72,31.1,28.8,30.9,35.3,30,22.9
Bovinae,1,66.8,27.1,25.2,27.6,34.3,29.1,21.2
Bovinae,1,68.2,29,25.9,28.4,35.2,29.2,21.2
Bovinae,1,67.3,28.2,24.6,28.4,33.7,26.5,21.1
Bovinae,1,67.7,26.7,24.8,25.4,36,27.9,18.9
Bovinae,1,73.7,31.4,29,30,37.6,31.2,23.1
Bovinae,1,68.9,27,26.5,26.7,34.9,28.1,19.5
Bovinae,1,70.4,27.5,24,24.9,36.5,27.5,18.7
Bovinae,1,69.4,29,25,28.8,34,27.9,21.3
Bovinae,1,67.2,29.4,26.4,27.5,34.6,26.8,20.7
Bovinae,1,69.7,26.1,25.2,26,37.6,25.4,20.2
Bovinae,4,50.1,9.7,7.9,9.7,16.1,11.2,9.3
Bovinae,4,36.8,10.7,10.5,9.9,17.1,12.9,8.5
Bovinae,4,33.4,9.6,8.4,9.3,13.8,10.5,8.1
Bovinae,4,50.5,11.7,11.3,11.8,17.7,12.9,11.4
Bovinae,4,36.4,10.2,9.9,9.6,15.6,11.8,9.4
Bovinae,4,36.5,10.3,9.3,9.8,15.8,12.4,9
Bovinae,4,40,10.8,10.1,10.4,17.1,13.4,9.4
Bovinae,4,39.9,11.8,11.8,11.5,18,13.9,10.4
Bovinae,4,44.6,12,11,11.6,18.7,14.8,10.3
Bovinae,4,40,11.76,11.2,10.8,16.6,13.3,9.8
Bovinae,3,48.3,13.8,12,12.5,20.4,16.4,11.3
Bovinae,3,56.6,16.5,15.6,15,23.9,18.2,13.7
Bovinae,3,58.5,15.4,14.7,15.5,21.4,18,12.4
Bovinae,3,49.5,15.6,15.3,15.8,21.8,18.1,13
Bovinae,3,43.2,13.4,12.7,11.8,17.8,14.6,10.5
Bovinae,3,41.2,13,10.4,10.7,16.9,12.8,10.7
Bovinae,3,65.6,17.7,15.4,16.7,28.3,19.7,14.9
Bovinae,3,69.2,18.4,16.9,18.3,29.1,20.9,16.2
Bovinae,3,51.6,14.7,13.5,14.4,22.6,16.9,12
Bovinae,3,68.3,19,17.7,19.6,30.4,22.5,16.7
Bovinae,3,67.8,21.1,19.9,21.7,30.5,23.5,17.9
Bovinae,3,62.2,18.1,15.8,17.7,27.8,18.9,15.9
Bovinae,3,60.8,18,16.3,17.8,27.5,20.4,15.5
Bovinae,3,74,21.4,21.5,22,33.5,25,19.5
Bovinae,3,70.2,19.5,19.7,20.5,30.4,23.5,18.4
Hippotraginae,1,47.9,18.1,14,17.4,18.2,13.7,10.9
Hippotraginae,1,51,18.9,14.6,17.8,18.3,15.3,12.9
Hippotraginae,1,46.9,17.8,14.2,16.9,18.7,13.7,12.4
Hippotraginae,1,46.2,18.1,14.5,17.9,19.9,14.8,11.3
Hippotraginae,1,65.4,23.2,19,21.3,27.5,22.5,17
Hippotraginae,1,66,23.4,19.4,21.3,27,22,16.6
Hippotraginae,1,56.7,20.7,17.2,20.9,25,19.7,14.6
Hippotraginae,1,55.8,20.8,16.7,19.1,25,20.8,14.7
Hippotraginae,1,67.4,23.3,19.7,21.5,26,21.2,16.5
Hippotraginae,1,56.1,18.9,15.8,17.1,21,16,13.6
Hippotraginae,1,56.3,18.6,15.7,18.6,20.2,16.2,13.9
Hippotraginae,1,51.3,16.9,14.9,16.7,19.6,15.7,11.8
Hippotraginae,1,58.5,22.9,21.2,22.4,26.8,21.2,16.1
Hippotraginae,1,54.5,20.2,18.1,20.7,25.3,19.1,14.8
Hippotraginae,1,55.2,20.5,18.6,19.9,25.2,19.6,14.9
Hippotraginae,1,56.9,21.9,18.4,21.2,23.9,20,15.2
Reduncinae,3,61.5,22.5,18.9,23.5,29.7,21.1,16.9
Reduncinae,3,58.1,22.6,19,22.3,25.3,19.5,16.2
