Collection No.,Subfamily,L or R,LL,LI,LM,WI,WD,TP,TI,TD
89,Bovinae,,75.5,61.9,69.9,40.1,45,28.1,36.3,32.5
90,Bovinae,,77,61.6,70.9,43,46.5,31,37.9,35
91,Bovinae,,77.1,62,71.2,42.6,49,28.5,37.8,36.2
92,Bovinae,,73.9,62,72.7,43.9,47.1,28.9,38.4,35
93,Bovinae,,44.3,35.9,40.5,27.4,27.5,17.3,23,19
94,Bovinae,,45.5,36.7,40.1,28.2,28.7,17.8,23.9,20.6
95,Bovinae,,48.2,37.8,43.2,27.1,29,18.1,23.6,19.9
96,Bovinae,,60.1,49.8,56.7,34.2,37.8,24.2,30.2,26.7
97,Bovinae,,55,46.2,52.9,30.9,34,21.1,25.6,24.7
98,Bovinae,,67,55.5,62.7,34.5,41.5,26.8,30.8,28.8
99,Bovinae,,61.9,51.6,59.4,37.8,40,24.1,31.3,30.9
100,Bovinae,,58.7,48.3,33.7,23,36.1,24.4,29.9,27
101,Bovinae,,56.2,45.2,52.6,33.5,35.6,23.3,27.5,25.7
102,Bovinae,,54.2,45.2,52.5,29.9,32.9,20.5,26,23.1
103,Bovinae,,62.5,52.9,58.9,37.1,38,24.8,29.8,25.6
104,Bovinae,,54.6,44.1,50.4,34.1,35.6,19.2,27.3,23.6
105,Bovinae,,60.7,49.2,57.2,33.3,36.3,23.4,28.6,24.1
106,Bovinae,,64.9,52.8,59.5,40.2,39.3,26.9,33.7,28.1
107,Bovinae,,59.7,48.2,57,33.1,36.1,23.4,30.2,26.2
108,Bovinae,,70,57.9,64.5,39.8,42.5,25.6,35.4,32.7
109,Bovinae,,65.1,53.4,60.4,36.7,39.9,24.7,30.3,25.9
110,Bovinae,,70.4,57.2,62.9,39.7,44.2,27.8,37.8,29.8
111,Bovinae,,61.8,49,57.3,33,36.5,23.3,29.6,27.4
112,Bovinae,,48.8,37.6,45.4,26,28.1,19.3,23.3,20.9
113,Bovinae,,44.8,34.9,42.2,25,27.2,17.3,21.3,18.7
114,Bovinae,,48.1,37.1,44.5,26.3,27.8,18.2,24.5,21.1
115,Bovinae,,41.5,32.4,38.9,22.8,23.3,16.2,20.6,17.7
116,Bovinae,,31.8,24.2,29.5,17.8,17.7,11.4,16.1,12.8
117,Bovinae,,32.7,27.6,31.7,18.2,20.7,12.9,17,14.2
118,Bovinae,,33.7,28,32,18,19.3,13.2,16.4,13
119,Bovinae,,32.4,26.9,31.7,18.5,20.5,11.5,16.6,15.3
120,Bovinae,,33.3,26.9,31,18,20.9,12.6,17.4,15.1
121,Bovinae,,34.2,27.5,31.9,17.7,19.6,12.7,16.2,13.9
122,Bovinae,,36.8,30.4,34.7,20,21.5,13.5,18.3,15.7
123,Bovinae,,38.5,30.1,34.2,20.5,22.4,14.2,19.1,15.9
124,Bovinae,,38.4,30.6,35.3,20.4,21.6,14.3,19,16.6
125,Bovinae,,39.7,31.9,37.2,20.6,22.6,14.5,19.7,16
126,Bovinae,,40.8,33.3,38.6,24.5,24.8,15.2,20.2,16.5
127,Bovinae,,36.5,30.1,35.4,20.9,23.2,14.9,20.3,17.7
128,Bovinae,,42.6,34,39.7,25.3,25.2,15.8,19.7,16
